Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,
mstephenson@fernandez.com,"835 Frank Tunnel\nWrightmouth, MI 82180-9605",Violet,34.49,12.65,39.57,4.08,587.95,
hduke@hotmail.com,"4547 Archer Common\nDiazchester, CA 06566-8576",DarkGreen,31.92,11.1,37.26,2.66,392.42,
pallen@yahoo.com,"24645 Valerie Unions Suite 582\nCobbborough, D...",Bisque,33,11.33,37.11,4.1,487.54,
riverarebecca@gmail.com,"1414 David Throughway\nPort Jason, OH 22070-1220",SaddleBrown,34.3,13.71,36.72,3.12,581.85,
mstephens@davidson-herman.com,"14023 Rodriguez Passage\nPort Jacobville, PR 3...",MediumAquaMarine,33.33,12.79,37.53,4.44,599.64,
masterblaster@gmail.com,"1403 Andheri, Navi Mumbai, India",BattieBatsman,32.25,14.28,35.46,4.58,600.02,
Jontronshow@jonny.com,"2407, New Jersey, Virginia",Roaster,35.48,13.54,37.26,3.15,578.54,
Bhuvan@hotmail.com,"3407, Australia",Commander,32.58,12.67,34.75,4.14,586.36,
aliciasierra@hotmail.com,"8521, New York",Redcard,33.54,13.45,35.12,3.42,598.86,
aliabhatt@gmail.com,"876/435, Navi Mumbai, India",ChildMaster,35.45,10.45,33.25,2.96,457.32,
johncena@hotmail.com,"345/23, The iron Islands",Watcher,34.78,12.47,37.36,3.85,398.47,
theundertaker@gmail.com,"834/ 75, Street 45, New York City",Finisher,33.73,11.26,39.74,4.18,489.26,
rahulgandhi@yahoo.com,"756/ 873, Italy",NoobMaster,32.23,13.84,36.62,4.27,596.38,
soniagandhi@yahoo.com,"345/09, Street 42, Italy",Traveller,33.11,11.74,37.94,3.25,600.12,
mohanlal@gmail.com,"6534, Street 4, Chennai",ActorMaster,35.89,10.37,33.58,4.26,492.64,
raghav@msn.net,"54/732, Tamil Nadu",Newbie,34.45,13.27,35.92,2.45,389.75,
sameera@gmail.com,"765/12, Street 5, Karnataka",Expert,35.23,12.48,38.61,3.68,534.15,
pranjali@gmail.com,"365/ 94, Street 23, New Jersey",Intern,32.24,11.35,38.82,2.68,634.18,
shivasena@hotmail.com,"34/123, Maharastra",Peacemaker,33.57,13.57,34.95,4.16,475.12,
arvinda@hotmail.com,"18/420, New Delhi",TroubleMaker,33.42,12.45,37.16,2.78,567.36,
rishabjain@gmail.com,"845/34, Kharkhoda, Haryana",PeaceMaster,34.756,10.47,39.37,3.56,329.93,
spymaster@hotmail.com,"75/344, The Spy Club, California",SpyMaster,32.69,13.27,35.37,3.18,458.83,
,,,,,,,,
